hisse;open;high;low;close;volume;previous close;close_2;close_3;close_5;close_10;high10;low10
THYAO;306;310.5;304.75;309.75;38930554;302.5;300.5;301;301.25;308.75;310.5;297.75
TKFEN;217.6;224.1;216.7;222.2;2102189;218;217.2;205.9;231;243;245.2;204.9
TOASO;276.25;280.5;274.25;279.25;1495140;275;277.25;281.25;270;268.25;286.5;264
TRALT;53.8;55.45;53.4;54.9;63392172;53.5;56.4;54.55;50.5;47.7;57.45;46.8
TRENJ;104.9;106.8;104.6;106.4;917094;104.5;109.5;107.8;96.9;95.2;112.5;92.4
TRMET;140.4;142;138.9;141.8;3124325;138.9;147;143.3;131.1;128.1;150.1;124
TSKB;11;11.32;10.99;11.27;13677066;10.96;11.15;11.01;11.05;11.05;11.34;10.85
TTKOM;53.4;54.45;53.25;54.25;18849370;53.3;53.4;54.85;54.1;56.35;57.7;52.65
TUKAS;2;2.03;2;2.03;21106432;2;2.03;2.01;2;2;2.05;1.97
TUPRS;369.75;382;366.5;378.25;21869681;373.75;400.5;406.75;395.5;351.25;407.5;343.25
TUREX;6.69;6.75;6.66;6.7;4730396;6.65;6.92;6.78;7;6.41;7.16;6.4
TURSG;6.17;6.34;6.15;6.29;36707881;6.14;6.18;6.33;6.34;6.31;6.41;6.08
ULKER;90.95;92.2;90.45;91.7;3252734;90.75;91.75;93.45;97.75;87.45;100.6;87
VAKBN;32;33.22;32;32.72;64480200;31.5;31.38;30.6;31;30.92;33.22;29.96
VESTL;22.04;22.24;21.9;22.18;1852571;21.9;22.08;22;21.64;22.06;23.06;21.1
XU030;16756.59;17032.5;16732.35;16985.5;0;16707.2;16766.7;16725.1;16582.3;15970.3;17032.5;15902.4
YKBNK;36.84;38.02;36.84;37.68;164559920;36.66;36.52;35.1;35.62;35.7;38.02;34.4
ZOREN;2.28;2.3;2.27;2.28;9022935;2.29;2.27;2.27;2.27;2.26;2.32;2.23
