hisse;open;high;low;close;volume;previous close;close_2;close_3;close_5;close_10;high10;low10
TXN;268;269.77;262.22;268.92;2027638;266.64;258.14;260.67;263.42;258.44;273.33;255.82
UBER;70.82;71.39;70.11;70.86;6625875;70.5;70.87;70.97;72.63;75.76;75.61;69.24
UNH;377.87;378.95;373.82;374.5;1307353;376.9;375.21;375.26;383.55;397.14;406.53;372.42
UNP;278.8;279.2;271.35;272.4;2072713;279.37;282.48;280.92;285.08;289.62;291.07;271.35
V;369.54;370.27;366.09;367.66;1620054;368.29;369.93;370.93;375.28;375.07;377.17;365.52
VRT;254.67;254.88;247.61;254.57;2322574;249.39;241.49;239.41;237.39;280.53;295.34;226.94
VZ;48.18;48.35;47.56;48.12;5484668;48.09;48.33;49.76;51.29;50.14;51.67;47.2
WBD;29.77;30.78;29.66;30.65;137099237;27.8;28.24;28.07;28.1;28.25;30.78;27.74
WFC;86.83;87.15;86.23;86.53;2919517;86.12;86.89;87.05;88.71;89.97;91.99;85.79
WMT;106.16;107.66;106.12;107.57;5887750;106.73;106.79;107.5;109.08;107.14;109.74;105.16
XOM;160.96;161.95;158.23;158.46;4617662;163.54;163.27;163.32;165.08;159.47;169.64;158.23
^NDX;29947.16;30383.94;29933.22;30375.45;777171676;29644.17;29446.98;28945.06;29127.16;29544.15;30383.94;28753.29
